title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,$425.95,4.7 out of 5 stars,941 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,317 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console - Black (Renewed),$478.00,4.5 out of 5 stars,"1,205 ratings",Not Available
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,624 ratings",Only 10 left in stock - order soon.
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.50,4.7 out of 5 stars,"143,872 ratings",Not Available
"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control，Great Gamepad Gift (Blue+Purple)",,4.2 out of 5 stars,418 ratings,Not Available
"TOPAD Wireless Game Controller Compatible for PS4 with Enhanced Remote Joystick/Audio/Touch pad,Compatible with Playstation 4/Slim/Pro Console,with Charging Cable(Blue)",,3.9 out of 5 stars,15 ratings,Not Available
Sony Playstation 4 Dual Shock 4 Controller,,4.6 out of 5 stars,"1,964 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$63.00,4.7 out of 5 stars,"143,872 ratings",Not Available
$100 PlayStation Store Gift Card [Digital Code],$100.00,4.7 out of 5 stars,"251,744 ratings",Available now.
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.50,4.7 out of 5 stars,"143,872 ratings",Not Available
"Wireless Controller for PS3, Controller for Playstation 3, Wireless Bluetooth Gamepad with USB Charger Cable for PS3 Console, 2 Pack(Black)",,4.4 out of 5 stars,"1,127 ratings",Not Available
"Powerextra Wireless Controller Compatible with PS-3, 2 Pack High Performance Gaming Controller with Upgraded Joystick for Play-Station 3 (Black)",$21.99,4.4 out of 5 stars,"1,176 ratings",Not Available
Marvel's Spider-Man: Miles Morales - PlayStation 4,$39.84,4.8 out of 5 stars,"3,783 ratings",Not Available
"PS4 Controller Charger Dock Station, OIVO PS4 Controller Charging Dock Station with Upgraded 1.8-Hours Charging Chip, Charging Dock Station Replacement for Playstation 4 Dualshock 4 Controller Charger",,4.7 out of 5 stars,"30,269 ratings",Not Available
"BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo NES Games",,4.3 out of 5 stars,"96,927 ratings",Not Available
"OIVO PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Pro Vertical Stand with Dual Controller EXT Port Charger Dock Station and 12 Game Slots",,4.5 out of 5 stars,"41,308 ratings",Not Available
"PS4 Controller Charger Charging Cable 10ft 2 Pack Nylon Braided Extra Long Micro USB 2.0 High Speed Data Sync Cord Compatible for Playstaion 4, PS4 Slim/Pro, Xbox One S/X Controller, Android Phones",,4.6 out of 5 stars,"17,119 ratings",Not Available
"Wireless Controller for PS-4 Compatible with PS-4/Slim/Pro, Built-in 1000mAh Battery with Turbo/Dual Vibration/6-Axis Motion Sensor",,4.5 out of 5 stars,63 ratings,Not Available
"PS4 Stand Cooling Fan for PS4 Slim/PS4 Pro/PlayStation 4, PS4 Stand Vertical Stand Cooler with Dual Controller Charge Station & 16 Game Storage, PS4 Organizer Stand with Game Storage PS4 Accessories",,4.3 out of 5 stars,"1,225 ratings",Not Available
"YUYIU 【Upgraded】 Wireless Controller for Ps4 Remote Plays-tation 4/Slim/Pro/PC, Gaming Controllers with Dual Vibration Shock Speaker, Camo Red with Headphone Jack Touch Pad Six Axis Motion Control",,4.5 out of 5 stars,729 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Green Camouflage,$63.00,4.7 out of 5 stars,"143,872 ratings",Not Available
Sonic Frontiers - PlayStation 4,$37.49,4.8 out of 5 stars,292 ratings,In Stock.
"DRAGONTIME Remote for PS4 Controller Elite,Game Remote for Scuf PS4 Controller with Turbo,Wireless Joystick Gamepad Modded PS-4 Controller with Back Paddles for PS4/PS5/Steam/PC/IOS/Android Gamer（white）",$32.99,Previous page of related Sponsored Products,,Not Available
"GSRMQYQ Wireless Controller Compatible with PS-4/PS-4 Slim/PS-4 Pro,with Dual Vibration Game Joystick",,4.2 out of 5 stars,52 ratings,Not Available
Sackboy: A Big Adventure - PlayStation 4,$59.95,4.8 out of 5 stars,"1,537 ratings",Not Available
"PS4 Controller Charger Dock Station, OIVO PS4 Controller Charging Dock Station with Upgraded 1.8-Hours Charging Chip, Charging Dock Station Replacement for Playstation 4 Dualshock 4 Controller Charger",,4.7 out of 5 stars,"30,269 ratings",Not Available
【Upgraded】 Wireless PS4 Remote Controller Compatible with Playstation 4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Replacement for PS4 Controller,,4.6 out of 5 stars,179 ratings,Not Available
"Heiko Wireless Controller Compatible with PS4 / PS4 Slim / PS4 Pro & PC, Enhanced Dualshock PS4 Controller with 1200mAH Battery, 6-Axis Gyro Sensor, Game Controller (Blue Cloud)",$28.99,3.9 out of 5 stars,31 ratings,Not Available
NBA 2K23 - PlayStation 4,$19.99,4.7 out of 5 stars,"1,071 ratings",
"DRAGONTIME Wireless Controller for PS4,Gamepad Controller Compatible with P-S4/P-S4 Slim/PS-4 Pro,with Dual Vibration/Stereo Headset Jack/Touch Pad（purple）",,Previous page of related Sponsored Products,,Not Available
"TEDBOX Wireless Controller for PS4, Wireless Remote Gamepad with Unique Cracked Design/8 Adjustable LED Colors/Programmable Back Buttons/Super Turbo/Dual Vibration, Widely Compatible with PS4/PC/iOS",,4.5 out of 5 stars,7 ratings,Not Available
"PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Vertical Stand with Dual Controller Port Charger Dock Station, 12 Game Slots, USB Fast Charging Station with LED Indicator",$24.99,3.7 out of 5 stars,23 ratings,Not Available
